time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-08T05:53:58.470Z,59.697,1.739,10,4.7,mb,135,,,1.43,us,usp000a5pv,2014-11-07T01:11:41.674Z,"North Sea",earthquake,,,,39,reviewed,us,us
2000-12-08T03:49:10.690Z,43.746,21.24,10,4,ml,49,,,1.05,us,usp000a5pt,2014-11-07T01:11:41.663Z,"Serbia",earthquake,,,,,reviewed,us,the
2000-12-07T21:14:43.360Z,43.317,144.353,139.6,4.6,mb,78,,,0.68,us,usp000a5p6,2014-11-07T01:11:41.593Z,"Hokkaido, Japan region",earthquake,,,,41,reviewed,us,us
2000-12-07T12:13:54.670Z,36.711,71.441,186.5,4.2,mb,30,,,0.76,us,usp000a5ng,2014-11-07T01:11:41.473Z,"Hindu Kush region, Afghanistan",earthquake,,,,10,reviewed,us,us
2000-12-07T04:51:56.810Z,39.35,54.751,33,4,mb,17,,,1.28,us,usp000a5mz,2014-11-07T01:11:41.377Z,"Turkmenistan",earthquake,,,,4,reviewed,us,us
2000-12-06T19:00:41.330Z,39.434,54.775,33,4.4,mb,37,,,0.87,us,usp000a5mf,2014-11-07T01:11:41.255Z,"Turkmenistan",earthquake,,,,17,reviewed,us,us
2000-12-06T18:48:52.670Z,39.403,54.85,33,4.4,mb,38,,,1.2,us,usp000a5me,2014-11-07T01:11:41.250Z,"Turkmenistan",earthquake,,,,12,reviewed,us,us
2000-12-06T18:12:27.570Z,39.24,54.975,33,4.7,mb,100,,,1.33,us,usp000a5mb,2014-11-07T01:11:41.211Z,"Turkmenistan",earthquake,,,,40,reviewed,us,us
2000-12-06T17:45:24.750Z,39.745,54.559,33,4.4,mb,23,,,0.77,us,usp000a5m9,2014-11-07T01:11:41.205Z,"Turkmenistan",earthquake,,,,8,reviewed,us,us
2000-12-06T17:11:06.400Z,39.566,54.799,30,7,mwc,495,,,0.9,us,usp000a5m7,2020-02-06T20:14:26.716Z,"Turkmenistan",earthquake,,,,,reviewed,us,hrv
2000-12-06T12:02:29.280Z,42.398,142.174,60.5,4.8,mb,18,,,0.55,us,usp000a5kq,2014-11-07T01:11:41.085Z,"Hokkaido, Japan region",earthquake,,17.9,,4,reviewed,us,us
2000-12-06T06:12:35.080Z,42.68,143.284,96.3,4.5,mb,48,,,1.03,us,usp000a5kb,2014-11-07T01:11:40.998Z,"Hokkaido, Japan region",earthquake,,10.3,,19,reviewed,us,us
2000-12-06T00:34:38.210Z,76.278,7.01,10,4.7,mb,32,,,0.94,us,usp000a5jy,2014-11-07T01:11:40.947Z,"Svalbard region",earthquake,,,,15,reviewed,us,us
2000-12-05T22:38:25.340Z,34.132,139.081,33,4,mb,16,,,1.14,us,usp000a5jt,2014-11-07T01:11:40.918Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2000-12-05T22:00:54.150Z,35.526,99.563,10,4.2,mb,16,,,1.19,us,usp000a5jq,2014-11-07T01:11:40.807Z,"southern Qinghai, China",earthquake,,,,2,reviewed,us,us
2000-12-05T18:12:44.170Z,38.18,70.745,33,4.1,mb,16,,,1.22,us,usp000a5j9,2014-11-07T01:11:40.741Z,"Hindu Kush region, Afghanistan",earthquake,,,,4,reviewed,us,us
2000-12-05T13:20:22.250Z,38.366,73.285,126.5,4.5,mb,28,,,1.11,us,usp000a5ht,2014-11-07T01:11:40.646Z,"Tajikistan",earthquake,,13.7,,12,reviewed,us,us
2000-12-05T08:24:14.650Z,39.12,27.934,8.5,4.1,md,19,,,,us,usp000a5hh,2014-11-07T01:11:40.558Z,"western Turkey",earthquake,,,,,reviewed,isk,ath
2000-12-04T16:47:37.550Z,35.748,140.948,59.8,5.7,mwc,208,,,0.97,us,usp000a5gk,2020-01-04T00:27:43.743Z,"near the east coast of Honshu, Japan",earthquake,,8.1,,,reviewed,us,hrv
2000-12-04T10:17:24.680Z,53.08,171.018,33,5.2,mwc,259,,,0.85,us,usp000a5g6,2016-11-10T00:07:10.533Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,hrv
2000-12-04T00:48:18.630Z,35.414,99.402,10,4.7,mb,15,,,1.03,us,usp000a5fj,2014-11-07T01:11:39.783Z,"southern Qinghai, China",earthquake,,,,1,reviewed,us,us
2000-12-03T12:55:16.700Z,51.666,-178.156,43.2,5.7,mwc,425,,,0.96,us,usp000a5ev,2020-02-20T20:34:36.263Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,hrv
2000-12-03T03:35:52.500Z,36.426,71.21,232.7,4.1,mb,27,,,0.9,us,usp000a5e7,2014-11-07T01:11:39.438Z,"Hindu Kush region, Afghanistan",earthquake,,,,6,reviewed,us,us
2000-12-02T15:35:22.670Z,42.428,47.347,33,4.6,mb,90,,,1.22,us,usp000a5d5,2014-11-07T01:11:39.154Z,"Caucasus region, Russia",earthquake,,,,42,reviewed,us,us
2000-12-02T03:12:18.550Z,54.896,162.242,33,4.3,mb,15,,,0.74,us,usp000a5c2,2014-11-07T01:11:38.830Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,,,1,reviewed,us,us
2000-12-01T19:34:09.980Z,49.577,155.905,33,4.4,mb,26,,,1.03,us,usp000a5bg,2014-11-07T01:11:38.393Z,"Kuril Islands",earthquake,,,,5,reviewed,us,us
2000-12-01T17:37:27.120Z,44.53,148.191,47,4.8,mb,92,,,0.86,us,usp000a5bc,2014-11-07T01:11:38.338Z,"Kuril Islands",earthquake,,,,49,reviewed,us,us
2000-12-01T03:15:04.720Z,51.54,177.589,65.8,4.6,mb,76,,,0.96,us,usp000a5a9,2014-11-07T01:11:37.437Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,7.3,,31,reviewed,us,us
2000-11-30T21:31:23.220Z,45.599,26.401,144.7,4,mb,28,,,0.99,us,usp000a59t,2014-11-07T01:11:35.814Z,"Romania",earthquake,,4.8,,2,reviewed,us,us
2000-11-30T19:26:39.370Z,41.856,19.783,14.1,4.8,mb,58,,,0.93,us,usp000a59p,2014-11-07T01:11:35.798Z,"Albania",earthquake,,2.1,,5,reviewed,us,us
2000-11-30T18:46:41.540Z,33.619,132.111,69.7,4.5,mb,23,,,0.79,us,usp000a59k,2014-11-07T01:11:35.791Z,"Shikoku, Japan",earthquake,,7,,4,reviewed,us,us
2000-11-30T18:28:48.770Z,49.051,150.748,335.1,4.6,mb,22,,,1.05,us,usp000a59j,2014-11-07T01:11:35.778Z,"northwest of the Kuril Islands",earthquake,,9.2,,1,reviewed,us,us
2000-11-30T05:09:51.060Z,40.12,50.116,33,4.6,mb,90,,,1.03,us,usp000a58b,2014-11-07T01:11:35.593Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,45,reviewed,us,us
2000-11-29T17:16:56.050Z,39.879,22.93,10,4.1,mb,69,,,1.12,us,usp000a578,2014-11-07T01:11:35.310Z,"Greece",earthquake,,,,14,reviewed,us,us
2000-11-29T16:33:45.800Z,35.47,27.68,5,4,md,9,,,,us,usp000a574,2014-11-07T01:11:35.286Z,"Dodecanese Islands, Greece",earthquake,,,,,reviewed,ath,ath
2000-11-29T10:44:59.080Z,39.856,50.209,33,5,mb,17,,,1.56,us,usp000a565,2014-11-07T01:11:35.229Z,"Caspian Sea, offshore Azerbaijan",earthquake,,,,4,reviewed,us,us
2000-11-29T00:30:49.680Z,33.909,24.757,33,4.1,mb,21,,,1.17,us,usp000a558,2014-11-07T01:11:35.113Z,"central Mediterranean Sea",earthquake,,,,2,reviewed,us,us
